AreaManagerId,SellingPointId,StartDateSellingPoint,EndDateSellingPoint,SellingPointDesc,Location
363,15618,20060404,,MANENBURGSTRAAT 22 T/H,"(52.344286123, 4.921621745)"
363,10850,20060404,,NIEUWE UILENBURGERSTRAAT 106 T/H,"(52.370046714, 4.90403038)"
344,30053,20160101,20990101,,"(52.090787562, 5.099153215)"
363,16114,20060404,,FAGELSTRAAT 87 T/H,"(52.379863678, 4.874132848)"
363,14127,20060404,,Admiraal de Ruyterweg t/h 49,"(52.371031243, 4.862082065)"
344,30041,20120101,20990101,,"(52.092379336, 5.132677167)"
363,11224,20060404,,NIEUWE KEIZERSGRACHT 570 T/O,"(52.365371898, 4.909660731)"
344,30083,20120101,20990101,,"(52.097416401, 5.109400636)"
344,30052,20120101,20990101,,"(52.09476796, 5.098836557)"
344,30151,20131001,20990101,,"(52.075686794, 5.136677768)"
363,13698,20060404,,TRANSVAALKADE 109 T/O,"(52.351318468, 4.919073562)"
344,30021,20160211,20990101,,"(52.08604571, 5.1255114)"
363,12580,20060404,,Haarlemmermeerstraat 137_BORD,"(52.352793938, 4.850502645)"
344,30064,20120101,20990101,,"(52.076433939, 5.118013567)"
363,18804,20060404,,AMSTELVEENSEWEG 858,"(52.328841211, 4.857382295)"
344,30051,20120101,20990101,,"(52.092648053, 5.106215738)"
363,18933,20120209,,Belijenbeek 1,"(52.324406394, 4.888276832)"
717,4317,20130101,,,"(51.5843857, 3.627704367)"
363,10857,20060404,,Prof. Tulpplein 1,"(52.359703105, 4.905710872)"
363,11282,20060404,,OOSTENBURGERGRACHT 8 T/H,"(52.368781975, 4.921527235)"
363,12569,20060404,,Surinameplein 15,"(52.357865651, 4.852810767)"
363,19097,20070202,,Willem de Zwijgerlaan 185,"(52.375881311, 4.862463434)"
479,75013,20130514,,1110,"(52.437723577, 4.818109552)"
344,30034,20120101,20990101,,"(52.083231965, 5.110089308)"
363,16730,20060404,,INSULINDEWEG 900 T/H,"(52.362259314, 4.945553472)"
363,15093,20070801,,DERKINDERENSTRAAT 60,"(52.361798884, 4.840596081)"
363,11322,20060404,,KATTENBURGERSTRAAT 200 T/H,"(52.373736961, 4.920369068)"
363,19181,20070208,,Granidastraat 17,"(52.380861893, 4.847942855)"
363,16602,20060404,,BORNEOLAAN 320 T/H,"(52.371068453, 4.937381327)"
363,16099,20060404,,ROMBOUT HOGERBEETSSTRAAT 136 T/H,"(52.375031963, 4.871762924)"
363,18305,20081003,,Isolatorweg,"(52.390659268, 4.850813456)"
363,15801,20081219,,Joan Muyskenweg 14_BORD,"(52.333855722, 4.913441436)"
307,9001,20150216,,Herenstraat,"(52.154998659, 5.392896823)"
